ID,Name,Person,Sentence,Time,
95,Question1,Chief Gonzales,"Are you sure? If you accuse the wrong person, there is no going back.",5.2,5.5
96,Question1,Gary Price,Yes. I'm sure. I know who killed Mike Hill.,3.08,3.38
97,Question1,Chief Gonzales,Then let's hear it.,1.5,1.8
98,Question1,Chief Gonzales,First question: Did you find out how Mike died?,3.3,3.6
99,Question2,Chief Gonzales,But what happened in the hours before the Murder?,3.2,3.5
100,Question3,Chief Gonzales,Who do you suspect to be the murderer?,2.58,2.88
101,Question4,Chief Gonzales,"Tell me, what did you find out about the victim’s past?",3.84,4.14
102,Question5,Chief Gonzales,I think there’s more to it. What did you find out about the murderer’s past?,4.88,5.18
103,Question1reaction,Chief Gonzales,I don’t think you’re on the right track.,1.7,2
104,Question1reaction,Chief Gonzales,"Ok., I see...",1.7,2
105,Question1reaction,Chief Gonzales,"Yeah, that sounds reasonable.",1.7,2
106,Question2reaction,Chief Gonzales,I’m not convinced yet... ,1.7,2
107,Question2reaction,Chief Gonzales,Interesting...,1.7,2
108,Question2reaction,Chief Gonzales,"Ok, yeah. That makes sense.",1.7,2
109,Question3reaction,Chief Gonzales,That doesn’t make any sense. But well…,1.7,2
110,Question3reaction,Chief Gonzales,Hmm… I’m not hundred percent sure about this one. But well…,1.7,2
111,Question3reaction,Chief Gonzales,I see. But well…,1.7,2
112,Question5reaction,Chief Gonzales,"The connections you’re drawing today seem random at best. But come back 
to the police station first. We’ll have a closer look into it",1.7,2
113,Question5reaction,Chief Gonzales,"Seems like there's somethinghere. But there's still something missing.
But come back to the police station first. We’ll have a closer look into it",1.7,3
114,Question5reaction,Chief Gonzales,"Sounds like you’re onto something here.
But come back to the police station first. We’ll have a closer look into it.",1.7,2
115,Confession,Jason Parker,"Listen Chief, I really didn't want to do it.",3.4,3.7
116,Confession,Jason Parker,I had my reasons.,1.4,1.7
117,Confession,Jason Parker,"I mean, yeah, sure, I picked on him at school, but that was just teasing!",4.2,4.5
118,Confession,Jason Parker,It's not the same thing as losing your family.,2.28,2.58
119,Confession,Jason Parker,"You know, I took therapy. For years!",3.7,4
120,Confession,Jason Parker,I'd.. Learnt to cope! But.. Then I got cancer.,4.4,4.7
121,Confession,Jason Parker,It's like I'm being punished for somenthing.,1.88,2.18
122,Confession,Jason Parker,"At least, that's how I felt.",2,2.3
123,Confession,Jason Parker,I thought about my past and remembered the kid I bullied at school.,4.08,4.38
124,Confession,Jason Parker,"I figured, I'd make amends.",2.08,2.38
125,Confession,Jason Parker,So I came and by and gave him a visit.,1.91,2.21
126,Confession,Jason Parker,"When he brought it up, I just knew.",2.55,2.85
127,Confession,Jason Parker,"After all these years, it was HIM?",2.28,2.58
128,Confession,Jason Parker,I just lost it. I couldn't think straight anymore.,3.17,3.47
129,Confession,Jason Parker,It was like I was in a trance,2.3,2.6
130,Confession,Jason Parker,"So, I picked up a vase..",2.2,2.5
131,Confession,Jason Parker,and I kept hitting him. hitting him.. Until he was lying on the floor.,4.33,4.63
132,Confession,Jason Parker,Once I'd realized what I'd done,3,3.3
133,Confession,Jason Parker,*Sigh*,1.9,2.2
134,Confession,Jason Parker,I'd decided to destroy the evidence,2.4,2.7
135,Confession,Jason Parker,I took his body to the shed and set it on fire.,3.2,3.5
136,Confession,Jason Parker,I regret it now. ,1.29,1.59
137,Confession,Jason Parker,"Out of everyone, I should know best that death is permanent..",4.2,4.5
138,Endreaction0,Chief Gonzales,You didn't meet my expectations today. I am dissappointed. Get your things and clean up your office.,1.7,2
139,Endreaction1,Chief Gonzales,"Well, you didn't hit the nail on the head. But you've helped to solve the case. I'll give you another chance.",1.7,2
140,Endreaction2,Chief Gonzales,"Good work today, detective Price. You've really proven yourself. I'll see you at work tomorrow morning.",1.7,2
141,Answeringmachine,,"Answering Machine
You have 3 new messages",2.8,3
142,Answeringmachine,Answering Machine ,"
*Beep*",1.6,2
143,Answeringmachine,Susan,"Hey Mike, how are you?",2,1.86
,Answeringmachine,Susan,I know that you… Saw us?,2,2.22
144,Answeringmachine,Susan,"I was just wondering if we could talk, ",1.7,1.7
145,Answeringmachine,Susan,just don't do anything rushed.,1.65,1.5
146,Answeringmachine,Susan,Please.,1.1,1.21
147,Answeringmachine,Answering Machine ,"
*Beep*",1.6,2
148,Answeringmachine,Jason,Hello Michael! ,1.2,1.2
149,Answeringmachine,Jason,It's Jason - from Moutainside Highschool.,2.2,2.2
150,Answeringmachine,Jason,Do you remember me?,1.5,1.7
151,Answeringmachine,Jason, It's been forever…,1.6,1.64
152,Answeringmachine,Jason,"Anyway, I just wanted to see how you are.",2.45,2.72
153,Answeringmachine,Jason,Maybe I could swing by tomorrow.,2.2,2.1
154,Answeringmachine,Answering Machine ,"
*Beep*",1.6,2
155,Answeringmachine,Susan,Mike. It's me again.,2.12,1.62
156,Answeringmachine,Susan,You better not snoop around anymore.,1.71,1.9
157,Answeringmachine,Susan,You won't find out anything anyways.,1.76,1.5
158,Answeringmachine,Susan,Just keep it to yourself Hill.,1.3,1.11
159,Answeringmachine,Susan, I've got a lot to lose here.,1.7,1.9
