ID,Name,Person,Sentence,Time,
89,Broken Action Figure,Gary Price,"Vaya, esto es viejísimo.",1.7,2
90,Lunchbox,Gary Price,,1.7,2
91,Beer,Gary Price,Espero que no le importe si me llevo algunas.,1.7,2
92,Obituary,Gary Price,¿Por qué Mike guardaba esto?,1.7,2
93,Lasagna,Gary Price,Delicioso.,1.7,2
94,Question1,Chief Gonzales,Soy Gary. Creo que he resuelto el crimen.,2.4,2.7
95,Question1,Chief Gonzales,¿Estás seguro? Si acusas a la persona equivocada no hay vuelta atrás.,5.2,5.5
96,Question1,Gary Price,"Sí, estoy seguro. Sé quién mató a Mike Hill.",3.08,3.38
97,Question1,Chief Gonzales,"Vale, te escucho.",1.5,1.8
98,Question1,Chief Gonzales,Primera pregunta: ¿averiguaste como murió Mike?,3.3,3.6
99,Question2,Chief Gonzales,¿Y qué pasó las horas antes del asesinato?,3.2,3.5
100,Question3,Chief Gonzales,¿Quién crees que es el asesino?,2.58,2.88
101,Question4,Chief Gonzales,"Dime, ¿qué encontraste sobre el pasado de la víctima?",3.84,4.14
102,Question5,Chief Gonzales,"Creo que tiene que haber algo más, ¿qué averiguaste sobre el pasado del asesino?",4.88,5.18
103,Question1reaction,Chief Gonzales,No creo que vayas bien encaminado.,1.7,2
104,Question1reaction,Chief Gonzales,Ya veo...,1.7,2
105,Question1reaction,Chief Gonzales,"Sí, parece razonable.",1.7,2
106,Question2reaction,Chief Gonzales,Todavía no estoy convencida...,1.7,2
107,Question2reaction,Chief Gonzales,Interesante...,1.7,2
108,Question2reaction,Chief Gonzales,De acuerdo. Eso tiene sentido.,1.7,2
109,Question3reaction,Chief Gonzales,"Eso no tiene ningún sentido, pero bueno...",1.7,2
110,Question3reaction,Chief Gonzales,"No me convence del todo, pero bueno...",1.7,2
111,Question3reaction,Chief Gonzales,Ya veo... bueno...,1.7,2
112,Question5reaction,Chief Gonzales,"Las conexiones que estás haciendo parecen aleatorias.
Vuelve a la estación de policía. Lo examinaremos más detenidamente.",1.7,2
113,Question5reaction,Chief Gonzales,"Puede que tengamos algo aquí, pero tampoco está todo claro.
Vuelve a la estación de policía. Lo examinaremos más detenidamente.",1.7,3
114,Question5reaction,Chief Gonzales,"Parece que vas bien encaminado.
Vuelve a la estación de policía. Lo examinaremos más detenidamente.",1.7,2
115,Confession,Jason Parker,"Escuche, agente. De verdad que no quería hacerlo.",3.4,3.7
116,Confession,Jason Parker,Tenía mis motivos.,1.4,1.7
117,Confession,Jason Parker,"Quiero decir... sí, me metía con él en el colegio pero solo lo hacía de broma.",4.2,4.5
118,Confession,Jason Parker,No es lo mismo que perder a tu familia.,2.28,2.58
119,Confession,Jason Parker,Fui a terapia durante años.,3.7,4
120,Confession,Jason Parker,"Aprendí a sobrellevarlo, pero luego... me diagnosticaron cáncer.",4.4,4.7
121,Confession,Jason Parker,Era como si estuviera siendo castigado por algo.,1.88,2.18
122,Confession,Jason Parker,"Al menos, así me sentía.",2,2.3
123,Confession,Jason Parker,Pensando en el pasado me acordé del chico al que acosaba en el colegio.,4.08,4.38
124,Confession,Jason Parker,Pensé en hacer las paces con él.,2.08,2.38
125,Confession,Jason Parker,Así que me pasé por ahí y le hice una visita.,1.91,2.21
126,Confession,Jason Parker,"Cuando sacó el tema, simplemente lo supe.",2.55,2.85
127,Confession,Jason Parker,"Después de todos estos años, ¿había sido ÉL?",2.28,2.58
128,Confession,Jason Parker,Perdí el control. No podía pensar con claridad.,3.17,3.47
129,Confession,Jason Parker,Fue como si estuviera en trance.,2.3,2.6
130,Confession,Jason Parker,Así que cogí el jarrón...,2.2,2.5
131,Confession,Jason Parker,y le golpeé una y otra vez... hasta que se quedó tendido en el suelo.,4.33,4.63
132,Confession,Jason Parker,Cuando me di cuenta de lo que había hecho...,3,3.3
133,Confession,Jason Parker,*Suspiro*,1.9,2.2
134,Confession,Jason Parker,decidí destruir las pruebas.,2.4,2.7
135,Confession,Jason Parker,Llevé su cuerpo al cobertizo y le prendí fuego.,3.2,3.5
136,Confession,Jason Parker,Ahora me arrepiento.,1.29,1.59
137,Confession,Jason Parker,"Yo, más que nadie, debería saber que la muerte es permanente...",4.2,4.5
138,Endreaction0,Chief Gonzales,Hoy no cumpliste con mis expectativas. Me has decepcionado. Coge tus cosas y limpia tu despacho.,1.7,2
139,Endreaction1,Chief Gonzales,"Bueno, no diste en el clavo pero ayudaste a resolver el caso. Te daré otra oportunidad.",1.7,2
140,Endreaction2,Chief Gonzales,"Buen trabajo, detective Price. Has demostrado lo que vales. Te veo en el trabajo mañana por la mañana.",1.7,2
141,Answeringmachine,,"Contestador automático
Tienes 3 mensajes nuevos",2.8,3
142,Answeringmachine,Answering Machine,"
*Pitido*",1.6,2
143,Answeringmachine,Susan,"¡Hola, Mike! ¿Cómo estás?",2,1.86
,Answeringmachine,Susan,Ya sé que... nos viste.,2,2.22
144,Answeringmachine,Susan,Me preguntaba si podíamos hablar...,1.7,1.7
145,Answeringmachine,Susan,"no hagas nada precipitado,",1.65,1.5
146,Answeringmachine,Susan,por favor.,1.1,1.21
147,Answeringmachine,Answering Machine,"
*Pitido*",1.6,2
148,Answeringmachine,Jason,"¡Hola, Michael!",1.2,1.2
149,Answeringmachine,Jason,"Soy Jason, del Instituto Mountainside.",2.2,2.2
150,Answeringmachine,Jason,¿Te acuerdas de mí?,1.5,1.7
151,Answeringmachine,Jason,Ha pasado mucho tiempo...,1.6,1.64
152,Answeringmachine,Jason,"En fin, solo quería saber cómo estabas.",2.45,2.72
153,Answeringmachine,Jason,Quizás podría pasarme por ahí mañana.,2.2,2.1
154,Answeringmachine,Answering Machine,"
*Pitido*",1.6,2
155,Answeringmachine,Susan,Mike. Soy yo otra vez.,2.12,1.62
156,Answeringmachine,Susan,Será mejor que dejes de fisgonear. ,1.71,1.9
157,Answeringmachine,Susan,No descubrirás nada de todas formas.,1.76,1.5
158,Answeringmachine,Susan,"No se lo digas a nadie, Hill.",1.3,1.11
159,Answeringmachine,Susan,Tengo mucho que perder.,1.7,1.9
